cat-title,cat-title href,image-link href,image src,post-title,meta-item 2,meta-item href,meta-item 3,meta-item href 2,excerpt
Court,https://factly.in/category/court/,https://factly.in/review-jharkhand-hc-rules-there-cant-be-any-discrimination-in-reimbursement-of-medical-expenses-for-physical-and-mental-illness/,https://factly.in/wp-content/uploads//2025/02/Jharkhand-High-court-featured-image-702x336.jpeg,Review: Jharkhand HC Rules There Can’t be any Discrimination in Reimbursement of Medical Expenses for Physical and Mental Illness.,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 19, 2025",https://factly.in/review-jharkhand-hc-rules-there-cant-be-any-discrimination-in-reimbursement-of-medical-expenses-for-physical-and-mental-illness/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgement…"
Environment,https://factly.in/category/environment/,https://factly.in/what-is-the-number-of-heatwave-related-deaths-in-india-different-government-organizations-provide-different-answers/,https://factly.in/wp-content/uploads//2016/04/Heat-stroke-deaths-in-India-factly.in_-702x336.jpg,What is the Number of Heatwave-Related Deaths in India? Different Government Organizations Provide Different Answers,Pavithra K M,https://factly.in/author/pavithrakm/,"February 18, 2025",https://factly.in/what-is-the-number-of-heatwave-related-deaths-in-india-different-government-organizations-provide-different-answers/#respond,The 2025 summer is expected to be warmer & harsher compared to 2024. While the…
Education,https://factly.in/category/education/,https://factly.in/data-state-public-universities-make-up-only-36-of-all-universities-in-india-but-account-for-81-of-total-student-enrolment/,https://factly.in/wp-content/uploads//2024/02/featured-image-female-faculty-in-higher-education-702x336.jpeg,Data: State Public Universities Make up only 36% of All Universities in India but Account for 81% of Total Student Enrolment,Suresh Deepala,https://factly.in/author/sureshdeepala/,"February 17, 2025",https://factly.in/data-state-public-universities-make-up-only-36-of-all-universities-in-india-but-account-for-81-of-total-student-enrolment/#respond,Expanding access to quality higher education is seen as a crucial step toward achieving Viksit…
Stories,https://factly.in/category/stories/,https://factly.in/data-marginal-decrease-in-annual-ground-water-recharge-in-2024-with-minimal-increase-in-extraction/,https://factly.in/wp-content/uploads//2022/12/Groundwater-Extraction_Featured-Image-702x336.jpg,Data: Marginal Decrease in Annual Ground Water Recharge in 2024 with Minimal Increase in Extraction,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 14, 2025",https://factly.in/data-marginal-decrease-in-annual-ground-water-recharge-in-2024-with-minimal-increase-in-extraction/#respond,India’s groundwater resources are assessed periodically through a collaborative effort between State Ground Water Departments…
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-that-alleged-harassment-must-leave-victim-with-no-alternative-but-suicide-to-constitute-abetment/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: SC Rules that Alleged Harassment Must Leave Victim with No Alternative But Suicide to Constitute Abetment,Pavithra K M,https://factly.in/author/pavithrakm/,"February 12, 2025",https://factly.in/review-sc-rules-that-alleged-harassment-must-leave-victim-with-no-alternative-but-suicide-to-constitute-abetment/#respond,"In this edition of Court Judgements review, we look at the Supreme Court’s judgement that…"
Agriculture,https://factly.in/category/agriculture/,https://factly.in/data-production-of-fruits-increased-by-about-60-between-2009-10-and-2023-24/,https://factly.in/wp-content/uploads//2025/02/Fruits-in-India-featured-image-702x336.jpeg,Data: Production of Fruits Increased by About 60% Between 2009-10 and 2023-24,Suresh Deepala,https://factly.in/author/sureshdeepala/,"February 11, 2025",https://factly.in/data-production-of-fruits-increased-by-about-60-between-2009-10-and-2023-24/#respond,There is a body of evidence linking health ailments with lower consumption of fruits and…
Government Revenue,https://factly.in/category/government-revenue/,https://factly.in/data-deductions-under-section-80c-and-rebate-under-87a-accounted-for-more-than-70-of-the-revenue-foregone-for-individual-taxpayers-in-2022-23/,https://factly.in/wp-content/uploads//2017/04/How-safe-are-our-Income-Tax-Returns_factly-702x336.jpg,Data: Deductions Under Section 80C and Rebate Under 87A Accounted for More Than 70% of the Revenue Foregone for Individual Taxpayers in 2022-23,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 10, 2025",https://factly.in/data-deductions-under-section-80c-and-rebate-under-87a-accounted-for-more-than-70-of-the-revenue-foregone-for-individual-taxpayers-in-2022-23/#respond,"The Income Tax Act provides tax incentives to promote exports, regional development, infrastructure growth, employment…"
Banks,https://factly.in/category/banks/,https://factly.in/data-complaints-to-ombudsman-about-banking-related-loans-advances-more-than-tripled-in-five-years/,https://factly.in/wp-content/uploads//2021/03/Central-Government-Debt_Image-702x336.jpg,Data: Complaints to Ombudsman About Banking Related ‘Loans & Advances’ More Than Tripled in Five Years,Pavithra K M,https://factly.in/author/pavithrakm/,"February 7, 2025",https://factly.in/data-complaints-to-ombudsman-about-banking-related-loans-advances-more-than-tripled-in-five-years/#respond,The Annual Report of the Ombudsman Scheme 2023-24 was released recently. Data indicates that banking-related…
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-that-all-essential-ingredients-must-be-proved-to-establish-dowry-death/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: SC Rules that All Essential Ingredients Must be Proved to Establish Dowry Death,Suresh Deepala,https://factly.in/author/sureshdeepala/,"February 5, 2025",https://factly.in/review-sc-rules-that-all-essential-ingredients-must-be-proved-to-establish-dowry-death/#respond,"In this edition of Court Judgements review, we look at the Supreme Court’s judgement that…"
finance,https://factly.in/category/finance/,https://factly.in/review-niti-aayogs-fiscal-health-index-highlights-wide-disparities-among-states-in-fiscal-management/,https://factly.in/wp-content/uploads//2020/11/Market-Borrowings-of-State-Governments_Image-702x336.jpg,Review: NITI Aayog’s Fiscal Health Index Highlights Wide Disparities Among States in Fiscal Management,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"February 4, 2025",https://factly.in/review-niti-aayogs-fiscal-health-index-highlights-wide-disparities-among-states-in-fiscal-management/#respond,"A Fiscal Health Index (FHI) has been developed by NITI Aayog to evaluate state finances,…"
Padma Awards,https://factly.in/category/padma-awards/,https://factly.in/data-more-than-40-of-the-padma-awards-conferred-in-the-fields-of-art-and-literature-education/,https://factly.in/wp-content/uploads//2019/01/Padma-awards-in-Election-years_featured-image-factly-702x336.jpg,"Data: More than 40% of the Padma Awards Conferred in the fields of Art, and Literature & Education",Pavithra K M,https://factly.in/author/pavithrakm/,"February 3, 2025",https://factly.in/data-more-than-40-of-the-padma-awards-conferred-in-the-fields-of-art-and-literature-education/#respond,"The 2025 Padma Awards were recently announced, and the President of India has approved the…"
Migration,https://factly.in/category/migration/,https://factly.in/data-ice-data-shows-an-average-of-2-lakh-deportations-from-the-usa-in-the-last-10-years/,https://factly.in/wp-content/uploads//2025/01/ice-deporations-USA-featured-image-702x336.jpeg,Data: ICE Data Shows an Average of 2 Lakh Deportations from The USA in The Last 10 Years,Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 31, 2025",https://factly.in/data-ice-data-shows-an-average-of-2-lakh-deportations-from-the-usa-in-the-last-10-years/#respond,Some of the executive orders issued by the President of the United States of America…
Court,https://factly.in/category/court/,https://factly.in/review-delhi-hc-rules-that-men-are-also-entitled-to-safeguards-under-the-law-just-as-women-deserve-protection-from-cruelty-and-violence/,https://factly.in/wp-content/uploads//2022/11/court-judgements-_Featured-Image-702x336.jpg,Review: Delhi HC Rules That Men Are Also Entitled to Safeguards Under The Law Just as Women Deserve Protection From Cruelty and Violence,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 29, 2025",https://factly.in/review-delhi-hc-rules-that-men-are-also-entitled-to-safeguards-under-the-law-just-as-women-deserve-protection-from-cruelty-and-violence/#respond,"In this edition of Court Judgements review, we look at the Supreme Court’s judgement on…"
Republic Day,https://factly.in/category/republic-day/,https://factly.in/data-indonesias-president-was-the-chief-guest-at-republic-day-parade-for-the-fourth-time-since-1950/,https://factly.in/wp-content/uploads//2025/01/republic-day-2025-featured-image-702x336.jpg,Data: Indonesia’s President was the Chief Guest at Republic Day Parade for the Fourth Time Since 1950,Pavithra K M,https://factly.in/author/pavithrakm/,"January 28, 2025",https://factly.in/data-indonesias-president-was-the-chief-guest-at-republic-day-parade-for-the-fourth-time-since-1950/#respond,"Since 1950, India has hosted 70 unique guests from 47 countries as Chief Guest at…"
Stories,https://factly.in/category/stories/,https://factly.in/data-india-usa-trade-increased-consistently-since-2007-irrespective-of-the-party-in-power/,https://factly.in/wp-content/uploads//2020/09/Trade-with-USA_Featured-Image-702x336.jpg,Data: India-USA Trade Increased Consistently Since 2007 Irrespective of The Party in Power,Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 27, 2025",https://factly.in/data-india-usa-trade-increased-consistently-since-2007-irrespective-of-the-party-in-power/#respond,As Donald Trump is sworn in as the new President of the United States of…
Indian Industry,https://factly.in/category/indian-industry/,https://factly.in/data-visakhapatnam-steel-plant-was-profitable-in-only-15-of-the-last-30-years/,https://factly.in/wp-content/uploads//2025/01/vizag-steel-plant-featured-image-702x336.jpeg,Data: Visakhapatnam Steel Plant Was Profitable in Only 15 of the Last 30 Years,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 24, 2025",https://factly.in/data-visakhapatnam-steel-plant-was-profitable-in-only-15-of-the-last-30-years/#respond,"The government has approved a ₹11,440 crore revival plan for Rashtriya Ispat Nigam Limited (RINL),…"
Court,https://factly.in/category/court/,https://factly.in/review-madras-hc-rules-that-merely-finding-and-taking-custody-of-a-child-does-not-imply-legal-adoption/,https://factly.in/wp-content/uploads//2022/11/Review-of-Court-Judgments_Featured-Image-2-702x336.jpg,Review: Madras HC Rules That Merely Finding and Taking Custody of a Child Does Not Imply Legal Adoption,Pavithra K M,https://factly.in/author/pavithrakm/,"January 22, 2025",https://factly.in/review-madras-hc-rules-that-merely-finding-and-taking-custody-of-a-child-does-not-imply-legal-adoption/#respond,"In this edition of the court judgments review, we look at the SC’s judgment that…"
Environment,https://factly.in/category/environment/,https://factly.in/review-what-did-mohfw-mha-ministry-of-jal-shakti-moefcc-achieve-in-2024/,https://factly.in/wp-content/uploads//2025/01/Delhi_India_Government-702x336.jpg,"Review: What Did MoHFW, MHA, Ministry of Jal Shakti, MoEFCC Achieve in 2024?",Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 21, 2025",https://factly.in/review-what-did-mohfw-mha-ministry-of-jal-shakti-moefcc-achieve-in-2024/#respond,"As the year 2024 ended, we look at key activities, achievements and other milestones of…"
Banks,https://factly.in/category/banks/,https://factly.in/data-while-gross-npas-reduced-further-unclaimed-deposits-reached-a-new-high-as-per-rbis-report-on-banking-for-2023-24/,https://factly.in/wp-content/uploads//2017/03/SBI-announced-revised-charges_factly-702x336.jpg,"Data: While Gross NPAs Reduced Further, Unclaimed Deposits Reached a New High as Per RBI’s Report on Banking for 2023-24",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 20, 2025",https://factly.in/data-while-gross-npas-reduced-further-unclaimed-deposits-reached-a-new-high-as-per-rbis-report-on-banking-for-2023-24/#respond,The RBI recently released the Report on Trend and Progress of Banking in India 2023-24…
Health,https://factly.in/category/health/,https://factly.in/data-number-of-cases-of-fevers-flu-back-to-pre-covid-levels-as-per-idsp-reports/,https://factly.in/wp-content/uploads//2024/09/India-pandemic-preparedness-COVID-featured-image-702x336.jpeg,Data: Number of Cases of Fevers & Flu back to pre-COVID levels as per IDSP Reports,Pavithra K M,https://factly.in/author/pavithrakm/,"January 17, 2025",https://factly.in/data-number-of-cases-of-fevers-flu-back-to-pre-covid-levels-as-per-idsp-reports/#respond,The Union Ministry of Health releases weekly reports on outbreaks as part of the Integrated…
Court,https://factly.in/category/court/,https://factly.in/review-supreme-court-rules-that-convict-given-benefit-of-probation-should-not-suffer-disqualification-due-to-conviction/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: Supreme Court Rules That Convict Given Benefit of Probation Should Not Suffer Disqualification Due to Conviction,Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 15, 2025",https://factly.in/review-supreme-court-rules-that-convict-given-benefit-of-probation-should-not-suffer-disqualification-due-to-conviction/#respond,"In this edition of the Court Judgements review, we look at Kerala HC’s order that…"
NSSO,https://factly.in/category/nsso/,https://factly.in/data-while-rural-urban-mpce-price-differential-falls-below-80-for-all-major-states-inter-state-variations-persist/,https://factly.in/wp-content/uploads//2021/06/Demonetization_Featured-Image-702x336.jpg,"Data: While Rural-Urban MPCE Price Differential Falls Below 80% for All Major States, Inter-State Variations Persist",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 13, 2025",https://factly.in/data-while-rural-urban-mpce-price-differential-falls-below-80-for-all-major-states-inter-state-variations-persist/#respond,The 2022-23 and 2023-24 Household Consumption Expenditure Surveys reported rural-urban price differentials below 80% for…
Government of India,https://factly.in/category/government-of-india/,https://factly.in/data-kerala-goa-top-the-list-in-number-of-passports-issued-per-1000-persons/,https://factly.in/wp-content/uploads//2016/03/Passports-issued-in-2015_factly.in-featured-image-702x336.jpg,Data: Kerala & Goa Top the List in Number of Passports Issued per 1000 Persons,Pavithra K M,https://factly.in/author/pavithrakm/,"January 10, 2025",https://factly.in/data-kerala-goa-top-the-list-in-number-of-passports-issued-per-1000-persons/#respond,India is ranked 85 in ‘The Henley Passport Index 2025’ with visa-free access to 57…
Court,https://factly.in/category/court/,https://factly.in/review-sc-rules-that-high-courts-are-also-empowered-to-quash-criminal-proceedings-under-extraordinary-power-granted-under-article-226-of-constitution/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: SC Rules That High Courts Are Also Empowered to Quash Criminal Proceedings Under Extraordinary Power Granted Under Article 226 of Constitution,Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 8, 2025",https://factly.in/review-sc-rules-that-high-courts-are-also-empowered-to-quash-criminal-proceedings-under-extraordinary-power-granted-under-article-226-of-constitution/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgement…"
NSSO,https://factly.in/category/nsso/,https://factly.in/data-the-household-consumption-expenditure-survey-reveals-increased-spending-on-beverages-processed-foods-and-conveyance/,https://factly.in/wp-content/uploads//2025/01/beverages-featured-image-702x336.jpg,"Data: The Household Consumption Expenditure Survey Reveals Increased Spending on Beverages, Processed Foods, and Conveyance",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 7, 2025",https://factly.in/data-the-household-consumption-expenditure-survey-reveals-increased-spending-on-beverages-processed-foods-and-conveyance/#respond,"The Household Consumption Expenditure Survey (HCES) is a critical tool for understanding the consumption patterns,…"
Air Travel,https://factly.in/category/air-travel/,https://factly.in/data-domestic-aircraft-movements-crossed-pre-pandemic-levels-in-2023-24/,https://factly.in/wp-content/uploads//2019/09/complaints-against-Airlines_Featured-Image-702x336.jpg,Data: Domestic Aircraft Movements Crossed Pre-Pandemic Levels in 2023-24,Pavithra K M,https://factly.in/author/pavithrakm/,"January 6, 2025",https://factly.in/data-domestic-aircraft-movements-crossed-pre-pandemic-levels-in-2023-24/#respond,Aircraft movements refer to the total number of take-offs and landings at an airport. One…
NSSO,https://factly.in/category/nsso/,https://factly.in/data-the-household-consumption-expenditure-survey-reveals-increased-spending-on-beverages-processed-foods-and-conveyance/,https://factly.in/wp-content/uploads//2025/01/beverages-featured-image-702x336.jpg,"Data: The Household Consumption Expenditure Survey Reveals Increased Spending on Beverages, Processed Foods, and Conveyance",Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 7, 2025",https://factly.in/data-the-household-consumption-expenditure-survey-reveals-increased-spending-on-beverages-processed-foods-and-conveyance/#respond,"The Household Consumption Expenditure Survey (HCES) is a critical tool for understanding the consumption patterns,…"
Air Travel,https://factly.in/category/air-travel/,https://factly.in/data-domestic-aircraft-movements-crossed-pre-pandemic-levels-in-2023-24/,https://factly.in/wp-content/uploads//2019/09/complaints-against-Airlines_Featured-Image-702x336.jpg,Data: Domestic Aircraft Movements Crossed Pre-Pandemic Levels in 2023-24,Pavithra K M,https://factly.in/author/pavithrakm/,"January 6, 2025",https://factly.in/data-domestic-aircraft-movements-crossed-pre-pandemic-levels-in-2023-24/#respond,Aircraft movements refer to the total number of take-offs and landings at an airport. One…
Climate,https://factly.in/category/climate/,https://factly.in/data-state-of-forest-report-2023-indicates-a-marginal-increase-in-forest-cover-compared-to-2021/,https://factly.in/wp-content/uploads//2022/01/Forest-Cover-in-India_Image-702x336.jpg,Data: ‘State of Forest Report 2023’ Indicates a Marginal Increase in Forest Cover Compared to 2021,Suresh Deepala,https://factly.in/author/sureshdeepala/,"January 3, 2025",https://factly.in/data-state-of-forest-report-2023-indicates-a-marginal-increase-in-forest-cover-compared-to-2021/#respond,"Forest Survey of India data reveals that as of 2023, the Forest Cover in India…"
Court,https://factly.in/category/court/,https://factly.in/review-kerala-hc-rules-that-publication-or-display-of-photographs-of-defaulting-borrowers-in-public-is-invasion-of-right-of-the-borrowers-to-live-with-dignity/,https://factly.in/wp-content/uploads//2022/07/Review-of-Court-Judgments_Featured-Image-1-702x336.jpg,Review: Kerala HC Rules that Publication or Display of Photographs of Defaulting Borrowers in Public is Invasion of Right of the Borrowers to Live with Dignity,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"January 1, 2025",https://factly.in/review-kerala-hc-rules-that-publication-or-display-of-photographs-of-defaulting-borrowers-in-public-is-invasion-of-right-of-the-borrowers-to-live-with-dignity/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgement…"
Consumer protection,https://factly.in/category/consumer-protection/,https://factly.in/data-in-the-last-4-years-more-than-30-of-grievances-registered-against-e-commerce-companies-on-the-national-consumer-helpline-were-related-to-flipkart/,https://factly.in/wp-content/uploads//2024/12/national-consumer-helpline-1-702x336.png,"Data: In the last 4 years, more than 30% of grievances registered against e-commerce companies on the National Consumer Helpline were related to Flipkart.",Pavithra K M,https://factly.in/author/pavithrakm/,"December 30, 2024",https://factly.in/data-in-the-last-4-years-more-than-30-of-grievances-registered-against-e-commerce-companies-on-the-national-consumer-helpline-were-related-to-flipkart/#respond,The National Consumer Helpline was launched on 15 March 2005 as part of the ‘Jago…
Health,https://factly.in/category/health/,https://factly.in/data-rbi-report-reveals-that-vacancies-of-specialist-doctors-in-government-health-facilities-crossed-65-in-2023/,https://factly.in/wp-content/uploads//2020/06/Primary-Health-Centers_Featured-Image-702x336.jpg,Data: RBI Report Reveals That Vacancies of Specialist Doctors in Government Health Facilities Crossed 65% in 2023,Suresh Deepala,https://factly.in/author/sureshdeepala/,"December 27, 2024",https://factly.in/data-rbi-report-reveals-that-vacancies-of-specialist-doctors-in-government-health-facilities-crossed-65-in-2023/#respond,The RBI recently released the ‘Handbook of Statistics on Indian States’ which among other things…
Court,https://factly.in/category/court/,https://factly.in/review-supreme-court-rules-that-government-institutions-have-a-greater-duty-to-prevent-exploitative-practices-like-prolonged-temporary-employment/,https://factly.in/wp-content/uploads//2021/05/Importand-COurt-JUdgements_Featured-Image-702x336.jpg,Review: Supreme Court Rules That Government Institutions Have a Greater Duty to Prevent Exploitative Practices Like Prolonged Temporary Employment.,Sai Krishna Muthyanolla,https://factly.in/author/saikrishna/,"December 25, 2024",https://factly.in/review-supreme-court-rules-that-government-institutions-have-a-greater-duty-to-prevent-exploitative-practices-like-prolonged-temporary-employment/#respond,"In this edition of the Court Judgements review, we look at the Supreme Court’s judgements…"
Lok Sabha,https://factly.in/category/lok-sabha/,https://factly.in/parliament-review-disruptions-in-the-last-week-of-2024-winter-session-following-amit-shahs-remarks-on-ambedkar-scuffle-outside-parliament-building/,https://factly.in/wp-content/uploads//2024/12/Amit-shah-speech-referring-to-Ambedkar-featured-speech-702x336.png,Parliament Review: Disruptions in The Last Week of 2024 Winter Session Following Amit Shah’s Remarks on Ambedkar & Scuffle Outside Parliament Building,Pavithra K M,https://factly.in/author/pavithrakm/,"December 23, 2024",https://factly.in/parliament-review-disruptions-in-the-last-week-of-2024-winter-session-following-amit-shahs-remarks-on-ambedkar-scuffle-outside-parliament-building/#respond,The 3rd session (Winter Session) of the 18th Lok Sabha began on 25 November 2024…
Consumer protection,https://factly.in/category/consumer-protection/,https://factly.in/data-in-the-last-4-years-more-than-30-of-grievances-registered-against-e-commerce-companies-on-the-national-consumer-helpline-were-related-to-flipkart/,https://factly.in/wp-content/uploads//2024/12/national-consumer-helpline-1-702x336.png,"Data: In the last 4 years, more than 30% of grievances registered against e-commerce companies on the National Consumer Helpline were related to Flipkart.",Pavithra K M,https://factly.in/author/pavithrakm/,"December 30, 2024",https://factly.in/data-in-the-last-4-years-more-than-30-of-grievances-registered-against-e-commerce-companies-on-the-national-consumer-helpline-were-related-to-flipkart/#respond,The National Consumer Helpline was launched on 15 March 2005 as part of the ‘Jago…
Health,https://factly.in/category/health/,https://factly.in/data-rbi-report-reveals-that-vacancies-of-specialist-doctors-in-government-health-facilities-crossed-65-in-2023/,https://factly.in/wp-content/uploads//2020/06/Primary-Health-Centers_Featured-Image-702x336.jpg,Data: RBI Report Reveals That Vacancies of Specialist Doctors in Government Health Facilities Crossed 65% in 2023,Suresh Deepala,https://factly.in/author/sureshdeepala/,"December 27, 2024",https://factly.in/data-rbi-report-reveals-that-vacancies-of-specialist-doctors-in-government-health-facilities-crossed-65-in-2023/#respond,The RBI recently released the ‘Handbook of Statistics on Indian States’ which among other things…
