Title,Link,Image,Author,Date,Description,Fake News
"No, These Videos Don't Show Afghan Fans Celebrating India?s ICC CT 2025 Win",https://www.boomlive.in/videos/no-these-videos-dont-show-afghan-fans-celebrating-indias-icc-ct-2025-win-28086,https://www.boomlive.in/h-upload/videothumb/yt_jW45s0NszRQ.jpg,BOOM Team,24 March 2025 12:12 PM IST,"BOOM found that the visuals showing Afghan fans celebrating predate the ICC Champions trophy final on March 9, 2025. Some of the visuals show fans celebrating after the Afghanistan men?s cricket team defeated England in the Champions Trophy on February 26, 2025",FALSE
Fact Check Friday: Weekly Fake News Round Up,https://www.boomlive.in/weekly-wrap/weekly-wrap-fact-checks-friday-fake-news-28066,https://www.boomlive.in/h-upload/2025/03/21/500x300_1041388-collage.webp,BOOM Team,21 March 2025 6:45 PM IST,BOOM fact-checks the top five claims that went viral this week.,TRUE
Video From Pro-Palestine Rally In Pakistan Viral As Victims In Gaza,https://www.boomlive.in/fact-check/viral-video-palestine-gaza-war-victims-dead-bodies-claim-fact-check-28072,https://www.boomlive.in/h-upload/2025/03/21/500x300_1041414-birds-from-gaza-misleading.webp,Srijit Das,21 March 2025 5:44 PM IST,BOOM found that the video shows a solidarity protest in Pakistan where fake white bags were placed to represent war victims in Gaza.,TRUE
"An Assam Man Used An Emoji On Facebook. Two Years Later, He Faces the Law",https://www.boomlive.in/an-assam-man-used-an-emoji-on-facebook.-two-years-later-he-faces-the-law,https://www.boomlive.in/h-upload/2025/03/21/500x300_1041379-decode-ai-genertaed.webp,Hera Rizwan,21 March 2025 12:28 PM IST,"Amit Chakraborty?s laughing emoji reaction on Facebook led to a legal ordeal. As he awaits trial, his case highlights a growing legal debate: can an emoji be evidence?",FALSE
Viral Posts Falsely Claim UN Report Says India Behind 72.3% Terror Activities In Asia,https://www.boomlive.in/fact-check/factcheck-united-nations-terror-activities-india-asia-false-claim-28059,https://www.boomlive.in/h-upload/2025/03/20/500x300_1041357-un-02.webp,Nidhi Jacob,20 March 2025 6:17 PM IST,BOOM found no evidence or official statements from the UN or news reports linking India to terror activities,TRUE
Video Of Assault On Sri Lankan Monk Revived With False Links To Swami Anand Swaroop,https://www.boomlive.in/fast-check/sri-lanka-buddhist-monk-beaten-swami-anand-swaroop-maharaj-false-claim-viral-video-fast-check-28057,https://www.boomlive.in/h-upload/2025/03/20/500x300_1041339-whatsapp-image-2025-03-20-at-1231554e701ee1.webp,Srijanee Chakraborty,20 March 2025 5:25 PM IST,An edited video of a monk caught in a compromising position with two women is viral falsely misidentifying the monk as Swami Anand Swaroop.,TRUE
Video Of RSS Leader At An Iftar In Delhi Falsely Linked To Nagpur Violence,https://www.boomlive.in/fact-check/fake-news-video-rss-leader-indresh-kumar-iftar-party-night-nagpur-violence-28056,https://www.boomlive.in/h-upload/2025/03/20/500x300_1041354--03.webp,Anmol Alphonso,20 March 2025 4:12 PM IST,"BOOM found that the viral video is from March 15, 2025 and predates the March 17 communal violence in Nagpur.",TRUE
DIY Fraud: How Fake Aadhaar And PAN Are Sold Like Fast Food,https://www.boomlive.in/decode/diy-fraud-how-fake-aadhaar-and-pan-are-sold-like-fast-food-28053,https://www.boomlive.in/h-upload/2025/03/20/500x300_1041355-id-card-01.webp,Hera Rizwan,20 March 2025 2:17 PM IST,"An investigation by CloudSEK found a thriving underground market where scammers sell fake Aadhaar, PAN, and birth certificates by mimicking government portals.",TRUE
Viral Posts Misquote Sanjay Raut's Statement On Aurangzeb?s Tomb,https://www.boomlive.in/fact-check/fact-check-sanjay-raut-shiv-sena-ubt-aurangzeb-tomb-monument-of-valor-misleading-fact-check-28052,https://www.boomlive.in/h-upload/2025/03/17/500x300_1041197-shiv-sena-ubt-leader-sanjay-raut-says-it-auranzebs-tomb-misleading.webp,Anmol Alphonso,19 March 2025 9:21 PM IST,BOOM found that Sanjay Raut called the tomb a symbol of the courage and valour of the Marathas and Chhatrapati Shivaji who fought against Aurangzeb.,FALSE
Viral Photos Of Nita Ambani Gifting Luxury Cars To Cricketers Are AI-Generated,https://www.boomlive.in/fact-check/rohit-sharma-virat-kohli-bugatti-cars-nita-ambani-champions-trophy-ai-generated-images-viral-fact-check-28048,https://www.boomlive.in/h-upload/2025/03/19/500x300_1041307-virat-65.webp,Srijanee Chakraborty,19 March 2025 5:00 PM IST,A series of AI-generated images showing Nita Ambani gifting luxury cars to the Indian men's cricket team captain Rohit Sharma and former captain Virat Kohli are viral on social media as real images depicting her gifting Bugatti cars following India?s win in the Champion?s Trophy 2025.,FALSE
Video Of Modi Wearing Skull Cap and Offering Namaz Is A Deepfake,https://www.boomlive.in/fact-check/modi-deepfake-skullcap-islamic-namaz-ai-generated-28047,https://www.boomlive.in/h-upload/2025/03/19/500x300_1041322-modiprayingnamaz.webp,Archis Chowdhury,19 March 2025 4:11 PM IST,"BOOM found that the viral video of Modi offering Namaz is AI-generated, with manipulated visuals and audio.",TRUE
Murder Of Youth For Refusing To Play Holi Peddled With False Communal Spin,https://www.boomlive.in/fact-check/fact-check-murder-holi-rajasthan-viral-video-communal-claim-false-28045,https://www.boomlive.in/h-upload/2025/03/19/500x300_1041321-muslim-man-was-lynched-03.webp,Shivam Bhardwaj,19 March 2025 3:52 PM IST,BOOM found that the communal claim is false and that the deceased victim and the three accused belong to the tribal community,TRUE
Attack On Sufi Shrine In Bangladesh Viral As India; False Communal Spin Added,https://www.boomlive.in/fact-check/viral-video-west-bengal-hindu-temple-attack-claim-bangladesh-false-claim-fact-check-28042,https://www.boomlive.in/h-upload/2025/03/18/500x300_1041255-bengali-hindu-02.webp,Srijit Das,18 March 2025 8:18 PM IST,BOOM found that the video is from an attack on a Sufi shrine in Bangladesh and not from India.,TRUE
"Israel Renews Assault on Gaza, Over 300 Dead Amid Ceasefire Breakdown",https://www.boomlive.in/news/israel-renews-assault-on-gaza-over-300-dead-amid-ceasefire-breakdown-28037,https://www.boomlive.in/h-upload/2025/03/18/500x300_1041243-ceasefire.webp,Reuters,18 March 2025 3:13 PM IST,"Airstrikes targeted multiple locations across Gaza, with officials from the health ministry reporting that many of the casualties were children.",FALSE
Viral Video Misidentifying YouTuber Nitish Rajput As IPS Officer Revived,https://www.boomlive.in/fast-check/fast-check-shailajakant-misra-nitish-rajput-viral-video-misidentification-28035,https://www.boomlive.in/h-upload/2025/03/18/500x300_1041228-akhand-bharat-awareness-campaign-fake-1.webp,Srijanee Chakraborty,18 March 2025 1:12 PM IST,A video of YouTuber Nitish Rajput speaking on high number of Indian politicians facing criminal charges has been revived misidentifying him as IPS Officer Shailajakant Mishra of Lucknow Police.,FALSE
"'Drug Addicts','Maoists', ?ISI?: How Jadavpur University Protests Are Vilified",https://www.boomlive.in/boom-reports/maoists-durg-addicts-how-jadavpur-university-protests-are-vilified-west-bengal-tmc-28026,https://www.boomlive.in/h-upload/2025/03/17/500x300_1041186-ju-protest.webp,Snigdhendu Bhattacharya,17 March 2025 3:15 PM IST,"After clashes at Jadavpur University, the TMC and right-wing groups launched a targeted campaign branding the campus as a Maoist hub and a den of ""anti-nationals."" Politicians and media outlets amplified this narrative.",FALSE
News Outlets Misreport Old Video Linking It To Air India Flight?s Return To Chicago,https://www.boomlive.in/fact-check/air-india-flight-return-chicago-toilets-clogged-issue-old-video-misreported-indian-news-outlets-28005,https://www.boomlive.in/h-upload/2025/03/13/500x300_1041126-flight-05.webp,Anmol Alphonso,13 March 2025 5:14 PM IST,BOOM found that the viral video dates back to at least January 2025.,FALSE
"New Tax Bill Lets Officials Snoop On Emails, Social Media: What Does It Really Mean?",https://www.boomlive.in/explainers/new-tax-bill-lets-officials-snoop-on-emails-social-media-what-does-it-really-mean-28003,https://www.boomlive.in/h-upload/2025/03/13/500x300_1041124-tax-3.webp,Hera Rizwan,13 March 2025 2:24 PM IST,"Tax officials have dismissed concerns over expanded digital access under the new Income Tax Bill, stating that such powers already existed under the 1961 Act. But does that put concerns to rest?",FALSE
Old Clip Of BLA Warning China And Pak Falsely Linked To Jaffar Express Hijack,https://www.boomlive.in/fact-check/jaffar-express-hijack-pakistan-balochistan-bla-claiming-responsibility-video-viral-2019-false-claim-fact-check-28002,https://www.boomlive.in/h-upload/2025/03/12/500x300_1041087-jaffarexpress-3.webp,Srijanee Chakraborty,13 March 2025 2:13 PM IST,BOOM found that the viral video was released by the BLA in 2019 when they claimed responsibility for an attack on a hotel in Pakistan.,TRUE
Pakistan Train Hijack: How Security Forces Ended a Day-Long Standoff,https://www.boomlive.in/explainers/pakistan-train-hijack-how-security-forces-ended-a-day-long-standoff-28001,https://www.boomlive.in/h-upload/2025/03/13/500x300_1041120-railway-station-in-quetta.webp,Reuters,13 March 2025 1:54 PM IST,Baloch separatists bombed the railway track and fired rockets at the Jaffar Express on Tuesday as it traveled from Quetta to Peshawar with 440 passengers.,FALSE
Video Of Man Being Burnt In Bangladesh Falsely Peddled As West Bengal,https://www.boomlive.in/fact-check/viral-video-west-bengal-man-burning-alive-claim-fact-check-bangladesh-27998,https://www.boomlive.in/h-upload/2025/03/12/500x300_1041082-sharia-law-02.webp,Srijit Das,12 March 2025 6:05 PM IST,BOOM found that the video captures an incident in Bangladesh where two youths were tortured on suspicion of mobile theft.,TRUE
It Is A Battle For The Homeless To Find Night Shelter Without Aadhaar Card,https://www.boomlive.in/decode/delhi-night-shelter-homeless-denied-entry-aadhaar-card-27996,https://www.boomlive.in/h-upload/2025/03/12/500x300_1041066-decode-12.webp,Aatif Ammad,12 March 2025 1:25 PM IST,"Despite Supreme Court rulings that Aadhaar should not prevent access to essential services, shelter authorities continue enforcing these requirements.",FALSE
Old Clip Of Afghan Fans Celebrating Falsely Linked To India?s ICC CT 2025 Win,https://www.boomlive.in/fact-check/fake-news-afghan-fans-celebrating-india-win-against-new-zealand-videos-27992,https://www.boomlive.in/h-upload/2025/03/11/500x300_1041039-icc-01.webp,Anmol Alphonso,11 March 2025 4:52 PM IST,"BOOM found that the viral visuals showing Afghan fans celebrating predate India's victory over New Zealand on March 9, 2025.",TRUE
What Are the Different Types of Loans Available for Doctors,https://www.boomlive.in/partner-content/what-are-the-different-types-of-loans-available-for-doctors-27991,https://www.boomlive.in/h-upload/2025/03/11/500x300_1041007-what-are-the-different-types-of-loans-available-for-doctors.webp,Partner Content,11 March 2025 1:31 PM IST,"Learn more about the different loan options tailored for doctors to expand, upgrade and manage their practice.",FALSE
Is Taking Screenshot Enough To Save A Post? Learn How To Archive Them In 5 Steps,https://www.boomlive.in/videos/is-taking-screenshot-enough-to-save-a-post-learn-how-to-archive-them-in-5-steps-27990,https://www.boomlive.in/h-upload/videothumb/yt_l56QbE2u6f0.jpg,BOOM Team,11 March 2025 11:52 AM IST,Learn how you can archive social media posts or any link and preserve them before they're deleted or edited.,FALSE
Maha Kumbh Dominates Misinformation In Jan And Feb: BOOM Monthly Report,https://www.boomlive.in/boom-research/boom-research-maha-kumbh-dominates-misinformation-in-jan-and-feb-boom-monthly-report-27989,https://www.boomlive.in/h-upload/2025/03/11/500x300_1041004-misinfo-feb.webp,BOOM Team,11 March 2025 9:40 AM IST,"In February, 2025, BOOM published 94 original fact-checks in English, Hindi, Bangla and Tamil",FALSE
Google Pay Adds Fees for Bill Payments via Cards: Who Pays and How Much?,https://www.boomlive.in/explainers/google-pay-adds-fees-for-bill-payments-via-cards-who-pays-and-how-much-27983,https://www.boomlive.in/h-upload/2025/03/07/500x300_1040938-payment.webp,Hera Rizwan,10 March 2025 1:42 PM IST,"The fee, ranging from 0.5% to 1% of the transaction amount, will apply to payments made using debit and credit cards via Google Pay.",FALSE
Deepfake: Video Of Trump Accusing RSS Of Inciting Riots In Arunachal Pradesh,https://www.boomlive.in/fact-check/viral-video-us-president-donald-trump-speech-rss-arunachal-pradesh-riots-claim-fact-check-27982,https://www.boomlive.in/h-upload/2025/03/07/500x300_1040931-arunachal-pradesh-donald-trunmp-fake.webp,Srijit Das,10 March 2025 10:14 AM IST,BOOM found no credible report of Trump making such a speech and noticed several telltale signs confirming the video to be a deepfake.,TRUE
Video Of Mob Attack In Bangladesh Viral With False Communal Spin,https://www.boomlive.in/fact-check/men-being-hung-upside-down-from-a-bridge-beaten-charges-of-theft-bangladesh-false-communal-claim-27978,https://www.boomlive.in/h-upload/2025/03/08/500x300_1040954-bangladesh-false-claim.webp,Jagriti Trisha,8 March 2025 5:18 PM IST,"BOOM found that the incident in the viral video is from February 2025 in Dhaka, Bangladesh, when a mob accused two men, Nazim and Bokul, of robbery and hung them upside down from a footbridge.",TRUE
Why The 2026 Delimitation Has The Southern States Concerned,https://www.boomlive.in/news/delimitation-census-tamiml-nadu-uttar-pradesh-north-versus-south-mk-stalin-amit-shah-n-chandrababu-naidu-27976,https://www.boomlive.in/h-upload/2025/03/11/500x300_1041016-delimitation-2026-04.webp,Ritika Jain,7 March 2025 7:39 PM IST,Here are five questions and answers explaining the delimitation exercise and the reasons behind the protests from southern states.,FALSE
Sundar Pichai Deepfake Endorsing Fake 'Google Invest' Platform Goes Viral,https://www.boomlive.in/fact-check/sundar-pichai-google-ceo-fake-google-invest-platform-financial-scam-ai-deepfake-video-audio-fact-check-27975,https://www.boomlive.in/h-upload/2025/03/07/500x300_1040943-sundar-pichai-fake.webp,Srijanee Chakraborty,7 March 2025 6:36 PM IST,A deepfake video of Google and Alphabet's CEO Sundar Pichai urging Indians to invest in a fake platform called 'Google Invest' is viral on social media.,TRUE
Istanbul Airport Photo Falsely Peddled As Uttar Pradesh?s New Airport,https://www.boomlive.in/fact-check/fake-news-uttar-pradesh-airport-photo-istanbul-airport-trkiye-photo-27965,https://www.boomlive.in/h-upload/2025/03/06/500x300_1040871-5yogi-adityanath3.webp,Anmol Alphonso,6 March 2025 3:48 PM IST,BOOM found that the viral photo is from Istanbul airport in Türkiye.,TRUE
Couple Harassment Video Falsely Shared As Pak Minister Sexually Assaulting Woman,https://www.boomlive.in/fact-check/pakistan-education-minister-raping-muslim-woman-lahore-university-protest-false-claim-fact-check-27963,https://www.boomlive.in/h-upload/2025/03/05/500x300_1040850-pakistans-punjab-02.webp,Srijanee Chakraborty,5 March 2025 8:12 PM IST,"A disturbing video of a couple being harassed and beaten by multiple men inside a room in Pakistan is viral across different social media platforms with the false claim that it shows Pakistan Minister Rana Sikandar Hayat sexually assaulting a woman, for protesting at Lahore University.",TRUE
Haryana Congress Worker Himani Narwal?s Murder Viral With False Communal Spin,https://www.boomlive.in/fact-check/fake-news-haryana-congress-himani-narwal-murder-case-false-communal-spin-27961,https://www.boomlive.in/h-upload/2025/03/05/500x300_1040833--false.webp,Anmol Alphonso,5 March 2025 4:24 PM IST,BOOM reached out to Haryana Police who denied any communal angle to the murder stating that the accused and the victim belong to the same community,TRUE
Video Of Burqa-Clad Woman Beating Molester Shared With Communal Twist,https://www.boomlive.in/fact-check/video-of-burqa-clad-woman-beating-molester-shared-with-communal-twist-27960,https://www.boomlive.in/h-upload/2025/03/05/500x300_1040834--0487.webp,Archis Chowdhury,5 March 2025 4:09 PM IST,BOOM found that the captions with the Kanpur incident video are misleadingly adding a communal angle.,TRUE
Did Hollywood Actor Robert De Niro Swear At Trump At 2025 Oscars?,https://www.boomlive.in/videos/did-hollywood-actor-robert-de-niro-swear-at-trump-at-2025-oscars-27958,https://www.boomlive.in/h-upload/videothumb/yt_AmtYfIua8CM.jpg,BOOM Team,5 March 2025 2:27 PM IST,An old video of Hollywood actor Robert De Niro swearing at United States President Donald Trump is viral with a false claim that the incident is from the recent 2025 Oscar awards ceremony.,TRUE
Fake Article On Shreya Ghoshal's Arrest For Promoting Investment Site Surface,https://www.boomlive.in/fact-check/fake-news-shreya-ghoshal-investment-platoform-scam-crypto-fake-indian-express-article-ads-x-facebook-27957,https://www.boomlive.in/h-upload/2025/03/04/500x300_1040782-shreya-ghoshal-0268.webp,Anmol Alphonso,5 March 2025 12:32 PM IST,BOOM found that the ads on X and Facebook link to a dubious website impersonating The Indian Express promoting an investment scam.,TRUE
Old Video Of Attack On Hindu Man In Pakistan Peddled As Telengana,https://www.boomlive.in/fact-check/pakistan-hindu-man-attack-old-video-shared-as-telangana-communal-claim-fact-check-27953,https://www.boomlive.in/h-upload/2025/03/04/500x300_1040789-1040772-02.webp,Rohit Kumar,4 March 2025 4:16 PM IST,A video of a violent mob trying to enter a multi-storied building in Pakistan is being peddled with a false claim that it shows ?sar tan se juda? (decapitation) sloganeers attempting to forcefully enter Hindu homes in Telangana.,TRUE
Scripted Video Of Man Injecting Chemicals In Watermelon Viral With Communal Claim,https://www.boomlive.in/fact-check/ramadan-scripted-video-goes-viral-with-claim-that-watermelon-is-adulterated-with-chemicals-during-ramazan-27952,https://www.boomlive.in/h-upload/2025/03/04/500x300_1040788-1040781-ramadan-scripted-video-goes-viral-with-claim-that-watermelon-is-adulterated-with-chemicals-during-ramazan.webp,Shivam Bhardwaj,4 March 2025 3:36 PM IST,The viral video was originally posted in April 2024 on the YouTube channel The Social Junction with a disclaimer stating that it was staged,FALSE
Old Video Of Actor Robert De Niro Swearing At Trump Falsely Linked To Oscars,https://www.boomlive.in/fact-check/fake-news-old-video-robert-de-niro-f-word-trump-2018-speech-tony-awards-oscar-2025-27944,https://www.boomlive.in/h-upload/2025/03/03/500x300_1040738-robert-de-niro-08.webp,Anmol Alphonso,3 March 2025 2:25 PM IST,BOOM found that actor Robert De Niro swore using the f-word against Donald Trump at the 2018 Tony Awards.,TRUE
Video Of Body Found In Suitcase In Kolkata Viral With False Communal Claim,https://www.boomlive.in/fact-check/case-of-murder-of-woman-in-bengal-goes-viral-with-false-communal-claim-27925,https://www.boomlive.in/h-upload/2025/02/28/500x300_1040702-1040644-dead-body-02-1.webp,Shivam Bhardwaj,28 Feb 2025 5:24 PM IST,BOOM found that the deceased and the women accused of murder are relatives and belong to the same religion.,TRUE
Photo Of Fans Holding Indian And Afghanistan Flag Linked To 2025 Champions Trophy,https://www.boomlive.in/fact-check/fake-news-old-photo-afghan-fans-indian-flag-banner-viral-lahore-afghanistan-england-match-pakistan-27924,https://www.boomlive.in/h-upload/2025/02/28/500x300_1040699-picture-of-brotherhood-false.webp,Anmol Alphonso,28 Feb 2025 4:50 PM IST,BOOM found that the viral photo is from an Afghanistan vs Australia match in Mumbai during the 2023 ICC Men's ODI Cricket World Cup,FALSE
Edited Photo Viral Claiming Afghanistan Cricketer Celebrated With Indian Flag,https://www.boomlive.in/fact-check/viral-photo-afghanistan-cricket-team-england-icc-champions-trophy-indian-flag-claim-fact-check-27918,https://www.boomlive.in/h-upload/2025/02/27/500x300_1040654-rashid-87.webp,Srijit Das,28 Feb 2025 12:32 PM IST,BOOM found that the viral photo is edited to make it look like an Afghanistan cricketer held an Indian flag after the team's win against England at the ICC Champions Trophy,FALSE
How Political Artists Are Evading Bias And Censorship On Instagram,https://www.boomlive.in/decode/how-political-artists-are-evading-bias-and-censorship-on-instagram-27903,https://www.boomlive.in/h-upload/2025/02/27/500x300_1040600-artist-01.webp,Mohsina Malik,27 Feb 2025 12:17 PM IST,"Political creators and artists have long accused Meta of algorithmic bias, shadowbanning, and unjust content removal. Now, they are making intentional typos and using right-wing hashtags on their posts to battle against Instagram?s censorship policies.",FALSE
'Deva Shree Ganesha' Song Was Not Played After India's Victory Over Pak,https://www.boomlive.in/fact-check/fake-news-viral-video-ganesha-aarti-song-played-at-champions-trophy-after-india-victory-over-pakistan-in-dubai-27900,https://www.boomlive.in/h-upload/2025/02/26/500x300_1040553-champions-trophy-01.webp,Anmol Alphonso,26 Feb 2025 4:18 PM IST,BOOM found that the viral video has been edited to include two different clips which are not related to ongoing Champions Trophy.,FALSE
Video Does Not Show Babar Azam Being Heckled During India-Pak Match,https://www.boomlive.in/fact-check/viral-video-pakistan-cricketer-babar-azam-trolling-india-match-icc-champions-trophy-claim-fact-check-27898,https://www.boomlive.in/h-upload/2025/02/26/500x300_1040540-babar-azam-03.webp,Srijit Das,26 Feb 2025 2:11 PM IST,"BOOM found that the incident took place during a T20 match between Pakistan and Australia on November 16, 2024.",FALSE
AI Photo Shared As Preity Zinta Attending Maha Kumbh With Glenn Maxwell,https://www.boomlive.in/fact-check/viral-photo-preity-zinta-with-glenn-maxwell-maha-kumbh-mela-claim-fact-check-27872,https://www.boomlive.in/h-upload/2025/02/24/500x300_1040457-maxwell-01.webp,Srijit Das,24 Feb 2025 6:34 PM IST,BOOM found that the photograph has been generated using artificial intelligence and does not show a real visual.,FALSE
Did Delhi CM Rekha Gupta Buy A Luxury Car After Taking Office? A FactCheck,https://www.boomlive.in/fact-check/fake-news-delhi-cm-car-rekha-gupta-luxury-car-mg-gloster-within-48-hours-taking-oath-27870,https://www.boomlive.in/h-upload/2025/02/24/500x300_1040421--03.webp,Anmol Alphonso,24 Feb 2025 5:41 PM IST,"BOOM found that the MG Gloster car seen in the viral video was also used by former Delhi CMs, including Atishi and Arvind Kejriwal.",FALSE
"""Kumbh Water Is Safe"", Claims UP CM, But Government Data Contradicts",https://www.boomlive.in/explainers/kumbh-river-fecal-coliform-levels-yogi-adityanath-data-27869,https://www.boomlive.in/h-upload/2025/02/24/500x300_1040458-yogi-mela-6.webp,Nidhi Jacob,24 Feb 2025 5:35 PM IST,"Fecal coliform levels crossed permissible limits in at least five instances at Sangam Triveni, the river water at Maha Kumbh, per CPCB data",FALSE
Video of Goat Sacrifice Near Madurai Meenakshi Temple Viral With False Communal Claim,https://www.boomlive.in/fact-check/factcheck-meenakshi-amman-temple-madurai-false-communal-claim-27858,https://www.boomlive.in/h-upload/2025/02/22/500x300_1040368-arena-of-meenakshi-amman-temple-01.webp,Shobana MR,24 Feb 2025 3:34 PM IST,"BOOM found that no cow was slaughtered near the Madurai Meenakshi Amman Temple, but a goat was donated as part of ritual",TRUE
